,topic_0,topic_1,topic_2,topic_3,topic_4
0,cm,like,st,people,safe
1,eminem,storm,emergency,nltraffic,storm
2,photo,snow,state,today,stay
3,click,day,closed,st,blizzard
4,learn,today,john,emergency,newfoundland
5,michelleobama,time,nltraffic,cityofstjohns,canada
6,saveng,house,tomorrow,open,snowstorm
7,sexeducation,st,remain,says,snow
8,starr,street,weather,power,nlstorm
9,ken,door,update,need,st
