,Topic,Word,P
0,0,like,0.06966480612754822
1,0,one,0.05729513242840767
2,0,winter,0.05058739334344864
3,0,today,0.044724371284246445
4,0,time,0.04404385760426521
5,0,day,0.03947256878018379
6,0,tomorrow,0.03605477884411812
7,0,hope,0.03467462211847305
8,0,days,0.03448013216257095
9,0,neighbours,0.03262627124786377
10,1,god,0.00041841124766506255
11,1,tv,0.0004184110148344189
12,1,classic,0.0004184109275229275
13,1,birthday,0.0004184108111076057
14,1,bless,0.0004184108111076057
15,1,party,0.00041841078200377524
16,1,event,0.00041841078200377524
17,1,wait,0.00041841069469228387
18,1,sisters,0.00041841069469228387
19,1,so,0.00041841063648462296
20,2,god,0.00041841124766506255
21,2,tv,0.0004184110148344189
22,2,classic,0.0004184109275229275
23,2,birthday,0.0004184108111076057
24,2,bless,0.0004184108111076057
25,2,party,0.00041841078200377524
26,2,event,0.00041841078200377524
27,2,wait,0.00041841069469228387
28,2,sisters,0.00041841069469228387
29,2,so,0.00041841063648462296
30,3,nlstorm,0.08561025559902191
31,3,around,0.07586240768432617
32,3,weather,0.07381421327590942
33,3,snowfall,0.0716715157032013
34,3,nlwx,0.06708527356386185
35,3,bad,0.064503014087677
36,3,walk,0.05480124056339264
37,3,there,0.05079932510852814
38,3,eddiesheerr,0.040408238768577576
39,3,really,0.040038347244262695
40,4,snow,0.26816481351852417
41,4,canada,0.049353212118148804
42,4,january,0.026206910610198975
43,4,many,0.025520537048578262
44,4,cityofstjohns,0.024559184908866882
45,4,monday,0.02332577481865883
46,4,little,0.022952985018491745
47,4,yyt,0.021935051307082176
48,4,much,0.019640034064650536
49,4,closed,0.019470589235424995
50,5,god,0.00041841124766506255
51,5,tv,0.0004184110148344189
52,5,classic,0.0004184109275229275
53,5,birthday,0.0004184108111076057
54,5,bless,0.0004184108111076057
55,5,party,0.00041841078200377524
56,5,event,0.00041841078200377524
57,5,wait,0.00041841069469228387
58,5,sisters,0.00041841069469228387
59,5,so,0.00041841063648462296
60,6,newfoundland,0.12745144963264465
61,6,storm,0.046507153660058975
62,6,blizzard,0.04090536758303642
63,6,get,0.02946183644235134
64,6,nl,0.026629582047462463
65,6,people,0.025442032143473625
66,6,help,0.024335801601409912
67,6,newfoundlandstorm,0.02273472771048546
68,6,everyone,0.021564412862062454
69,6,love,0.021395234391093254
70,7,god,0.00041841124766506255
71,7,tv,0.0004184110148344189
72,7,classic,0.0004184109275229275
73,7,birthday,0.0004184108111076057
74,7,bless,0.0004184108111076057
75,7,party,0.00041841078200377524
76,7,event,0.00041841078200377524
77,7,wait,0.00041841069469228387
78,7,sisters,0.00041841069469228387
79,7,so,0.00041841063648462296
80,8,god,0.00041841124766506255
81,8,tv,0.0004184110148344189
82,8,classic,0.0004184109275229275
83,8,birthday,0.0004184108111076057
84,8,bless,0.0004184108111076057
85,8,party,0.00041841078200377524
86,8,event,0.00041841078200377524
87,8,wait,0.00041841069469228387
88,8,sisters,0.00041841069469228387
89,8,so,0.00041841063648462296
90,9,state,0.06421150267124176
91,9,it,0.060334380716085434
92,9,open,0.04923814907670021
93,9,good,0.04364845156669617
94,9,photos,0.04265378415584564
95,9,home,0.03901760280132294
96,9,see,0.03426375240087509
97,9,soe,0.033797405660152435
98,9,that,0.027223220095038414
99,9,two,0.026843855157494545
100,10,nlstorm2020,0.1903260499238968
101,10,this,0.036592889577150345
102,10,house,0.036217544227838516
103,10,way,0.03266473487019539
104,10,made,0.031970590353012085
105,10,nlsnowstorm2020,0.03184102848172188
106,10,shovelling,0.030736729502677917
107,10,ve,0.029043542221188545
108,10,again,0.02851320058107376
109,10,best,0.0276216808706522
110,11,god,0.00041841124766506255
111,11,tv,0.0004184110148344189
112,11,classic,0.0004184109275229275
113,11,birthday,0.0004184108111076057
114,11,bless,0.0004184108111076057
115,11,party,0.00041841078200377524
116,11,event,0.00041841078200377524
117,11,wait,0.00041841069469228387
118,11,sisters,0.00041841069469228387
119,11,so,0.00041841063648462296
120,12,snowmageddon2020,0.21301254630088806
121,12,re,0.04866085946559906
122,12,now,0.04119462892413139
123,12,city,0.03521934151649475
124,12,right,0.03507254272699356
125,12,finally,0.03181888163089752
126,12,even,0.02900978922843933
127,12,done,0.028667263686656952
128,12,neighbour,0.027602067217230797
129,12,don,0.027537254616618156
130,13,st,0.08797259628772736
131,13,emergency,0.05186867341399193
132,13,john,0.051139891147613525
133,13,nltraffic,0.0500873327255249
134,13,got,0.03832709416747093
135,13,street,0.03715568035840988
136,13,go,0.03123173490166664
137,13,downtown,0.027407342568039894
138,13,cm,0.02660987339913845
139,13,still,0.026418324559926987
140,14,god,0.00041841124766506255
141,14,tv,0.0004184110148344189
142,14,classic,0.0004184109275229275
143,14,birthday,0.0004184108111076057
144,14,bless,0.0004184108111076057
145,14,party,0.00041841078200377524
146,14,event,0.00041841078200377524
147,14,wait,0.00041841069469228387
148,14,sisters,0.00041841069469228387
149,14,so,0.00041841063648462296
