,Topic,Word,P
0,0,storm,0.05813557654619217
1,0,nltraffic,0.041278574615716934
2,0,one,0.038379084318876266
3,0,winter,0.03388595208525658
4,0,today,0.02995888516306877
5,0,open,0.02648192085325718
6,0,need,0.021271182224154472
7,0,house,0.021113792434334755
8,0,buried,0.0206499882042408
9,0,ok,0.019684797152876854
10,1,photos,0.05977104604244232
11,1,nlstorm,0.059326574206352234
12,1,this,0.055580440908670425
13,1,bad,0.044700656086206436
14,1,say,0.03237776830792427
15,1,check,0.02829175442457199
16,1,available,0.027224674820899963
17,1,full,0.024508649483323097
18,1,videos,0.023112360388040543
19,1,daughter,0.021516436710953712
20,2,get,0.050018444657325745
21,2,people,0.0431939996778965
22,2,street,0.041588194668293
23,2,go,0.034958090633153915
24,2,great,0.031979382038116455
25,2,days,0.03136894106864929
26,2,neighbours,0.02968313731253147
27,2,shovelling,0.02433638833463192
28,2,little,0.02242964692413807
29,2,first,0.02143096923828125
30,3,snowmageddon2020,0.09173500537872314
31,3,state,0.03823235258460045
32,3,nl,0.036852650344371796
33,3,everyone,0.029843691736459732
34,3,day,0.029272396117448807
35,3,hope,0.025714796036481857
36,3,cm,0.0242790337651968
37,3,around,0.02233830653131008
38,3,stay,0.021905818954110146
39,3,please,0.021447550505399704
40,4,snow,0.2226225584745407
41,4,help,0.035103343427181244
42,4,love,0.030860837548971176
43,4,still,0.02512381412088871
44,4,thank,0.02413509599864483
45,4,nlsnowstorm2020,0.021419929340481758
46,4,thanks,0.021219540387392044
47,4,that,0.016895700246095657
48,4,much,0.01630653813481331
49,4,would,0.01567152887582779
50,5,st,0.12528164684772491
51,5,it,0.05607426539063454
52,5,tomorrow,0.041735805571079254
53,5,good,0.040567148476839066
54,5,home,0.036263540387153625
55,5,january,0.03258354589343071
56,5,see,0.031845513731241226
57,5,going,0.03107110597193241
58,5,cityofstjohns,0.030535096302628517
59,5,god,0.022475332021713257
60,6,nlstorm2020,0.1739726960659027
61,6,like,0.07317259162664413
62,6,time,0.04626256972551346
63,6,you,0.03336673974990845
64,6,weather,0.03078537806868553
65,6,monday,0.026316361501812935
66,6,the,0.024791251868009567
67,6,cbcnl,0.024154869839549065
68,6,done,0.01748833991587162
69,6,well,0.016802674159407616
70,7,newfoundland,0.18270330131053925
71,7,blizzard,0.058639854192733765
72,7,got,0.03622440621256828
73,7,newfoundlandstorm,0.032634686678647995
74,7,downtown,0.025903336703777313
75,7,re,0.02170952782034874
76,7,power,0.02057575061917305
77,7,know,0.02017574943602085
78,7,out,0.02000262215733528
79,7,tonight,0.019513340666890144
80,8,mount,0.03871803730726242
81,8,could,0.034864358603954315
82,8,yyt,0.03433869406580925
83,8,lol,0.03238574415445328
84,8,so,0.030044183135032654
85,8,seen,0.027670521289110184
86,8,never,0.027349689975380898
87,8,mom,0.026758410036563873
88,8,cleared,0.02644534781575203
89,8,hours,0.025703860446810722
90,9,emergency,0.0668409913778305
91,9,john,0.0659007802605629
92,9,canada,0.05552251636981964
93,9,road,0.033877868205308914
94,9,getting,0.02745780721306801
95,9,two,0.022575609385967255
96,9,closed,0.021906094625592232
97,9,right,0.02133535034954548
98,9,parts,0.019357316195964813
99,9,residents,0.019080525264143944
