,Topic,Word,P
0,0,one,0.03532012179493904
1,0,get,0.033893365412950516
2,0,nl,0.030635599046945572
3,0,people,0.02926953136920929
4,0,street,0.028181079775094986
5,0,today,0.027571503072977066
6,0,great,0.021670430898666382
7,0,days,0.021256936714053154
8,0,photos,0.021113120019435883
9,0,around,0.01857006549835205
10,1,st,0.08033055812120438
11,1,john,0.046699296683073044
12,1,got,0.03499992936849594
13,1,go,0.028520911931991577
14,1,downtown,0.0250296238809824
15,1,thank,0.0231770146638155
16,1,january,0.020894188433885574
17,1,mount,0.019718479365110397
18,1,out,0.019327456131577492
19,1,tonight,0.01885521039366722
20,2,nlstorm2020,0.07886096835136414
21,2,snowmageddon2020,0.058898575603961945
22,2,emergency,0.030385056510567665
23,2,nltraffic,0.02934120036661625
24,2,state,0.024548349902033806
25,2,winter,0.024086805060505867
26,2,everyone,0.019162163138389587
27,2,open,0.018824143335223198
28,2,day,0.018795400857925415
29,2,hope,0.0165110994130373
30,3,nlstorm,0.030208613723516464
31,3,road,0.028743108734488487
32,3,this,0.0283013004809618
33,3,weather,0.026046384125947952
34,3,bad,0.022761527448892593
35,3,again,0.022053362801671028
36,3,the,0.02097507193684578
37,3,yyt,0.020939137786626816
38,3,walk,0.019338103011250496
39,3,so,0.018320107832551003
40,4,snow,0.1739703118801117
41,4,it,0.029262429103255272
42,4,tomorrow,0.021780021488666534
43,4,good,0.021170327439904213
44,4,neighbours,0.019708944484591484
45,4,still,0.01963496021926403
46,4,home,0.018924858421087265
47,4,way,0.01717311516404152
48,4,see,0.01661963202059269
49,4,cityofstjohns,0.015935657545924187
50,5,like,0.05584694817662239
51,5,canada,0.04249570518732071
52,5,time,0.03530976548790932
53,5,re,0.022656919434666634
54,5,now,0.01918114721775055
55,5,could,0.019179044291377068
56,5,lol,0.01781556010246277
57,5,that,0.017525222152471542
58,5,city,0.01639946736395359
59,5,right,0.01633130945265293
60,6,newfoundland,0.1381419450044632
61,6,storm,0.05041022226214409
62,6,blizzard,0.04433894529938698
63,6,help,0.026379821822047234
64,6,newfoundlandstorm,0.024676695466041565
65,6,love,0.02319210208952427
66,6,you,0.018452635034918785
67,6,please,0.016800303012132645
68,6,work,0.016655130311846733
69,6,power,0.015558881685137749
