,Topic,Word,P
0,0,thru,0.0004184100544080138
1,0,ha,0.0004184100544080138
2,0,website,0.0004184100544080138
3,0,basically,0.0004184100544080138
4,0,land,0.0004184100544080138
5,0,consider,0.0004184100544080138
6,0,regional,0.0004184100544080138
7,0,green,0.0004184100544080138
8,0,hrs,0.0004184100544080138
9,0,affected,0.0004184100544080138
10,1,got,0.5993986129760742
11,1,us,0.27819743752479553
12,1,like,5.1812468882417306e-05
13,1,get,5.155485268915072e-05
14,1,ve,5.1553608500398695e-05
15,1,nlstorm2020,5.150407741894014e-05
16,1,you,5.148999480297789e-05
17,1,would,5.147745832800865e-05
18,1,time,5.1476941735018045e-05
19,1,hope,5.147161937202327e-05
20,2,thru,0.0004184100544080138
21,2,ha,0.0004184100544080138
22,2,website,0.0004184100544080138
23,2,basically,0.0004184100544080138
24,2,land,0.0004184100544080138
25,2,consider,0.0004184100544080138
26,2,regional,0.0004184100544080138
27,2,green,0.0004184100544080138
28,2,hrs,0.0004184100544080138
29,2,affected,0.0004184100544080138
30,3,thru,0.0004184100544080138
31,3,ha,0.0004184100544080138
32,3,website,0.0004184100544080138
33,3,basically,0.0004184100544080138
34,3,land,0.0004184100544080138
35,3,consider,0.0004184100544080138
36,3,regional,0.0004184100544080138
37,3,green,0.0004184100544080138
38,3,hrs,0.0004184100544080138
39,3,affected,0.0004184100544080138
40,4,thru,0.0004184100544080138
41,4,ha,0.0004184100544080138
42,4,website,0.0004184100544080138
43,4,basically,0.0004184100544080138
44,4,land,0.0004184100544080138
45,4,consider,0.0004184100544080138
46,4,regional,0.0004184100544080138
47,4,green,0.0004184100544080138
48,4,hrs,0.0004184100544080138
49,4,affected,0.0004184100544080138
50,5,snow,0.6452691555023193
51,5,it,0.10852458328008652
52,5,good,0.07851080596446991
53,5,home,0.07018141448497772
54,5,see,0.061630021780729294
55,5,crews,0.008771470747888088
56,5,town,0.005584390833973885
57,5,like,9.077342838281766e-06
58,5,blizzard,9.073626642930321e-06
59,5,snowmageddon2020,9.072135981114116e-06
60,6,thru,0.0004184100544080138
61,6,ha,0.0004184100544080138
62,6,website,0.0004184100544080138
63,6,basically,0.0004184100544080138
64,6,land,0.0004184100544080138
65,6,consider,0.0004184100544080138
66,6,regional,0.0004184100544080138
67,6,green,0.0004184100544080138
68,6,hrs,0.0004184100544080138
69,6,affected,0.0004184100544080138
70,7,thru,0.0004184100544080138
71,7,ha,0.0004184100544080138
72,7,website,0.0004184100544080138
73,7,basically,0.0004184100544080138
74,7,land,0.0004184100544080138
75,7,consider,0.0004184100544080138
76,7,regional,0.0004184100544080138
77,7,green,0.0004184100544080138
78,7,hrs,0.0004184100544080138
79,7,affected,0.0004184100544080138
80,8,st,0.6933931708335876
81,8,hours,0.1129751205444336
82,8,avalon,0.08428989350795746
83,8,winds,0.04770191013813019
84,8,john,2.7103718821308576e-05
85,8,downtown,2.6067538783536293e-05
86,8,everyone,2.6049765438074246e-05
87,8,hope,2.601482265163213e-05
88,8,ok,2.6003071980085224e-05
89,8,cm,2.5984123567468487e-05
90,9,thru,0.0004184100544080138
91,9,ha,0.0004184100544080138
92,9,website,0.0004184100544080138
93,9,basically,0.0004184100544080138
94,9,land,0.0004184100544080138
95,9,consider,0.0004184100544080138
96,9,regional,0.0004184100544080138
97,9,green,0.0004184100544080138
98,9,hrs,0.0004184100544080138
99,9,affected,0.0004184100544080138
100,10,storm,0.7149226665496826
101,10,anyone,0.20575179159641266
102,10,nlstorm2020,3.365892916917801e-05
103,10,around,3.347053279867396e-05
104,10,know,3.345464210724458e-05
105,10,open,3.34437754645478e-05
106,10,would,3.342383206472732e-05
107,10,another,3.3404863643227145e-05
108,10,chips,3.339302566018887e-05
109,10,go,3.3390730095561594e-05
110,11,one,0.4389297068119049
111,11,today,0.34262534976005554
112,11,look,0.14470364153385162
113,11,made,3.1042913178680465e-05
114,11,this,3.1037572625791654e-05
115,11,shovelling,3.1028877856442705e-05
116,11,way,3.102555638179183e-05
117,11,another,3.101915353909135e-05
118,11,people,3.101304901065305e-05
119,11,snowmageddon2020,3.101224865531549e-05
120,12,thru,0.0004184100544080138
121,12,ha,0.0004184100544080138
122,12,website,0.0004184100544080138
123,12,basically,0.0004184100544080138
124,12,land,0.0004184100544080138
125,12,consider,0.0004184100544080138
126,12,regional,0.0004184100544080138
127,12,green,0.0004184100544080138
128,12,hrs,0.0004184100544080138
129,12,affected,0.0004184100544080138
